№,Код АТЕ,Код ОО,Наименование образовательной организации согласно Уставу образовательной организации ,Сокращенное наименование образовательной организации согласно Уставу образовательной организации  ,
919,237,237051,муниципальное дошкольное образовательное учреждение детский сад  поселка Возрождение Хвалынского района Саратовской области,"МДОУ детский сад 
п. Возрождение ",
920,237,237013,Муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 1 города Хвалынска Саратовской области,МОУ СОШ № 1,
921,237,237023,Муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 2 г. Хвалынска Саратовской области,МОУ СОШ № 2,
922,237,237033,Муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 3 города Хвалынска Саратовской области,МОУ СОШ № 3 г. Хвалынска,
923,237,237043,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа поселка Возрождение» Хвалынского района  Саратовской области,МОУ «СОШ п.Возрождение» ,
924,238,238000,Комитет по образованию администрации Энгельсского муниципального района,Комитет по образованию администрации Энгельсского муниципального района,
925,238,238010,муниципальное автономное учреждение дополнительного образования «Дворец творчества детей и молодежи имени Льва Абрамовича Кассиля» Энгельсского муниципального района Саратовской области,МАУ ДО «Дворец творчества им. Л.А. Кассиля» ,
926,238,238020,"муниципальное автономное учреждение «Спортивная школа
«Центральная» Энгельсского муниципального района Саратовской области",МАУ «СШ «Центральная»,
927,238,238030,муниципальное бюджетное учреждение «Спортивная школа развития туризма» Энгельсского муниципального района Саратовской области,МБУ «СШ развития туризма»,
928,238,238040,муниципальное учреждение «Муниципальный центр оценки качества образования» Энгельсского муниципального района Саратовской области,МУ «МЦОКО»,
929,238,238050,муниципальное автономное учреждение «Детский оздоровительно-досуговый центр «Буревестник» Энгельсского муниципального района Саратовской области,МАУ «Буревестник»,
930,238,238060,муниципальное учреждение дополнительного образования «Центр психолого-педагогического сопровождения «Позитив» Энгельсского муниципального района Саратовской области,МУ ДО «Центр «Позитив»,
931,238,238070,муниципальное бюджетное учреждение «Физкультурно-спортивный центр «Урожай» Энгельсского муниципального района Саратовской области»,МБУ «ФСЦ «Урожай»,
932,238,238080,Муниципальное бюджетное учреждение дополнительного образования «Детско-юношеская спортивная школа «Юность» Энгельсского муниципального района Саратовской области,МБУДО «ДЮСШ «Юность»,
933,238,238110,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств № 1 имени Петра Андреевича Фролова Энгельсского муниципального района»,МБУДО «ДШИ № 1 ЭМР»,
934,238,238120,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств № 2 Энгельсского муниципального района»,МБУДО «ДШИ № 2 ЭМР»,
935,238,238130,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств № 3 Энгельсского муниципального района»,МБУДО «ДШИ № 3 ЭМР»,
936,238,238140,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств № 4 Энгельсского муниципального района»,МБУДО «ДШИ № 4 ЭМР»,
937,238,238150,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств № 5 Энгельсского муниципального района»,МБУДО «ДШИ № 5 ЭМР»,
938,238,238160,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств № 6» Энгельсского муниципального района,МБУДО «ДШИ № 6 ЭМР»,
939,238,238170,муниципальное бюджетное учреждение дополнительного образования «Детская музыкальная школа № 7 с. Березовка Энгельсского муниципального района»,МБУДО «ДМШ № 7 с. Березовка ЭМР»,
940,238,238180,муниципальное бюджетное учреждение дополнительного образования  «Детская школа искусств п. Новопушкинское Энгельсского муниципального района»,"МБУДО «ДШИ 
п. Новопушкинское ЭМР»",
941,238,238190,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств» с. Генеральское Энгельсского муниципального района»,МБУДО «ДШИ с. Генеральское ЭМР»,
942,238,238200,муниципальное бюджетное учреждение дополнительного образования «Детская школа искусств п. Пробуждение Энгельсского муниципального района»,МБУДО «ДШИ п. Пробуждение ЭМР»,
943,238,238011,муниципальное дошкольное образовательное учреждение «Детский сад № 1» Энгельсского муниципального района Саратовской области,МДОУ «Детский сад № 1»,
944,238,238021,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 3» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 3»,
945,238,238041,муниципальное дошкольное образовательное учреждение «Детский сад № 5» Энгельсского муниципального района Саратовской области,МДОУ «Детский сад № 5»,
946,238,238051,муниципальное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 6» Энгельсского муниципального района Саратовской области,МДОУ «ЦРР - детский сад № 6»,
947,238,238061,муниципальное дошкольное образовательное учреждение «Детский сад № 9» Энгельсского муниципального района Саратовской области,МДОУ «Детский сад № 9»,
948,238,238071,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 10» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 10»,
949,238,238081,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 11» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 11»,
950,238,238091,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 17» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 17»,
951,238,238101,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 20» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 20»,
952,238,238111,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 22» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 22»,
953,238,238121,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 23» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 23»,
954,238,238131,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 24» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 24»,
955,238,238141,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 26» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 26»,
956,238,238151,муниципальное автономное дошкольное образовательное учреждение «Центр развития дошкольного образования «Журавушка» Энгельсского муниципального района Саратовской области,МАДОУ «ЦРДО «Журавушка»,
957,238,238161,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 33» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 33»,
958,238,238171,муниципальное автономное дошкольное образовательное учреждение  «Детский сад комбинированного вида № 35» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 35»,
959,238,238191,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 41» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 41»,
960,238,238201,"муниципальное дошкольное образовательное учреждение «Детский сад 
№ 42» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 42»,
961,238,238211,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 45» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 45»,
962,238,238221,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 47» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 47»,
963,238,238231,"муниципальное дошкольное образовательное учреждение «Детский сад 
№ 51» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 51»,
964,238,238241,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 52» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 52»,
965,238,238251,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 53» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 53»,
966,238,238261,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 55» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 55»,
967,238,238271,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 57» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 57»,
968,238,238291,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 61» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 61»,
969,238,238301,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 62» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 62»,
970,238,238311,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 63» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 63»,
971,238,238321,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 65» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 65»,
972,238,238331,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 66» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 66»,
973,238,238341,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 67» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 67»,
974,238,238351,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 68» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 68»,
975,238,238361,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 69» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 69»,
976,238,238371,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 70» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 70»,
977,238,238381,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 71» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 71»,
978,238,238391,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 72» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 72»,
979,238,238401,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 74» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 74»,
980,238,238411,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 75» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 75»,
981,238,238421,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 76» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 76»,
982,238,238431,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 77» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 77»,
983,238,238441,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 78» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 78»,
984,238,238451,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 79» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 79»,
985,238,238461,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 109» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 109»,
986,238,238481,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Квасниковка» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
с. Квасниковка»",
987,238,238491,"муниципальное дошкольное образовательное учреждение «Детский сад
п. Пробуждение» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
п. Пробуждение»",
988,238,238501,"муниципальное дошкольное образовательное учреждение «Детский сад
п. Коминтерн» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
п. Коминтерн»",
989,238,238511,муниципальное автономное дошкольное образовательное учреждение «Детский сад пос. им. К. Маркса» Энгельсского муниципального района Саратовской области,"МАДОУ «Детский сад 
пос. им. К. Маркса»",
990,238,238521,"муниципальное дошкольное образовательное учреждение «Детский сад
пос. Придорожный» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
пос. Придорожный»",
991,238,238531,муниципальное автономное дошкольное образовательное учреждение «Детский сад с. Подстепное» Энгельсского муниципального района Саратовской области," МАДОУ «Детский сад 
с. Подстепное»",
992,238,238541,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Генеральское» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
с. Генеральское»",
993,238,238551,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Ленинское» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
с. Ленинское»",
994,238,238571,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Заветное» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад с. Заветное»,
995,238,238581,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Шумейка» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад с. Шумейка»,
996,238,238591,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Красный Яр» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
с. Красный Яр»",
997,238,238601,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Терновка» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад с. Терновка»,
998,238,238611,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Узморье» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад с. Узморье»,
999,238,238621,"муниципальное дошкольное образовательное учреждение «Детский сад
с. Зеленый Дол» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
с. Зеленый Дол»",
1000,238,238631,"муниципальное дошкольное образовательное учреждение «Детский сад
пос. Лощинный» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
пос. Лощинный»",
1001,238,238641,"муниципальное дошкольное образовательное учреждение «Детский сад
п. Новопушкинское» Энгельсского муниципального района Саратовской области","МДОУ «Детский сад 
п. Новопушкинское»",
1002,238,238651,муниципальное автономное дошкольное образовательное учреждение «Детский сад с. Липовка» Энгельсского муниципального района Саратовской области,"МАДОУ «Детский сад 
с. Липовка»",
1003,238,238661,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 15» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 15»,
1004,238,238671,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 7» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 7»,
1005,238,238681,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 8» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 8»,
1006,238,238691,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 81» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 81»,
1007,238,238701,"муниципальное дошкольное образовательное учреждение «Детский сад
№ 19» Энгельсского муниципального района Саратовской области",МДОУ «Детский сад № 19»,
1008,238,238711,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 18» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 18»,
1009,238,238721,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 21» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 21»,
1010,238,238731,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 112» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 112»,
1011,238,238741,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 14» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 14»,
1012,238,238751,муниципальное автономное дошкольное образовательное учреждение «Центр развития дошкольного образования «Лучик»» Энгельсского муниципального района Саратовской области,МАДОУ «ЦРДО «Лучик»,
1013,238,238761,муниципальное автономное дошкольное образовательное учреждение «Детский сад № 27» Энгельсского муниципального района Саратовской области,МАДОУ «Детский сад № 27»,
1014,238,238012,муниципальное общеобразовательное учреждение «Начальная школа» Энгельсского муниципального района Саратовской области,МОУ «Начальная школа»,
1015,238,238013,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 1» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 1»,
1016,238,238023,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 4 имени академика Сергея Павловича Королева» Энгельсского муниципального района Саратовской области,"МОУ «СОШ № 4
им. С.П. Королева»",
1017,238,238033,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 5 имени В. Хомяковой» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 5»,
1018,238,238043,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 9» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 9»,
1019,238,238053,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 12 имени Героя Советского Союза Суханова Виталия Федоровича» Энгельсского муниципального района Саратовской области,"МОУ «СОШ № 12
им. В.Ф. Суханова»",
1020,238,238063,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 16» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 16»,
1021,238,238073,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 18 имени Андрея Андреевича Мыльникова» Энгельсского муниципального района Саратовской области,"МОУ «СОШ № 18
им. А.А. Мыльникова»",
1022,238,238083,"муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 19 имени Героя Социалистического труда Ивана Петровича Кузнецова"" Энгельсского муниципального района Саратовской области",МОУ «СОШ № 19 им. И.П. Кузнецова»,
1023,238,238093,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 20 имени Марии Ивановны Кулькиной» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 20 им. М.И. Кулькиной»,
1024,238,238103,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 21 имени Героя Советского Союза Ильи Макаровича Каплунова» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 21 им. И.М. Каплунова»,
1025,238,238113,муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа № 7» Энгельсского муниципального района Саратовской области,МАОУ «СОШ № 7»,
1026,238,238123,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 24 имени Героя Советского Союза Пономаренко Виктора Ивановича» Энгельсского муниципального района Саратовской области,"МОУ «СОШ № 24
им. В.И. Пономаренко»",
1027,238,238133,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 31» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 31»,
1028,238,238143,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа имени Героя Советского Союза Юрия Алексеевича Гагарина» Энгельсского муниципального района Саратовской области,МОУ «СОШ им. Ю.А. Гагарина»,
1029,238,238153,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 33 имени П.А. Столыпина» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 33»,
1030,238,238163,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 42 имени Героя Советского Союза Германа Степановича Титова» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 42 им. Г.С. Титова»,
1031,238,238173,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Бурный имени Петра Васильевича Волоха» Энгельсского муниципального района Саратовской области,МОУ «СОШ п. Бурный им. П.В. Волоха» ,
1032,238,238183,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Берёзовка» Энгельсского муниципального района Саратовской области,МОУ «СОШ с. Березовка»,
1033,238,238193,муниципальное автономное общеобразовательное учреждение «Образовательный центр № 2» Энгельсского муниципального района Саратовской области,"МАОУ «Образовательный центр 
№ 2»",
1034,238,238203,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Генеральское имени Героя Советского Союза Ароновой Раисы Ермолаевны» Энгельсского муниципального района Саратовской области,"МОУ «СОШ с. Генеральское
им. Р.Е. Ароновой»",
1035,238,238213,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Заветное» Энгельсского муниципального района Саратовской области,МОУ «СОШ с. Заветное»,
1036,238,238223,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Зеленый Дол» Энгельсского муниципального района Саратовской области,МОУ «СОШ с. Зеленый Дол»,
1037,238,238233,муниципальное автономное общеобразовательное учреждение «Образовательный центр № 4» Энгельсского муниципального района Саратовской области,"МАОУ «Образовательный центр 
№ 4»",
1038,238,238253,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Коминтерн» Энгельсского муниципального района Саратовской области,МОУ «СОШ п. Коминтерн»,
1039,238,238263,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Придорожный» Энгельсского муниципального района Саратовской области,МОУ «СОШ п. Придорожный»,
1040,238,238273,муниципальное автономное общеобразовательное учреждение «Образовательный центр № 3» Энгельсского муниципального района Саратовской области,"МАОУ «Образовательный центр 
№ 3»",
1041,238,238283,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Новопушкинское» Энгельсского муниципального района Саратовской области,МОУ «СОШ п. Новопушкинское»,
1042,238,238293,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. имени К. Маркса» Энгельсского муниципального района Саратовской области,МОУ «СОШ п. имени К. Маркса»,
1043,238,238303,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Пробуждение имени Льва Абрамовича Кассиля» Энгельсского муниципального района Саратовской области,"МОУ «СОШ п. Пробуждение
им. Л.А. Кассиля»",
1044,238,238313,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Терновка имени Александра Петровича Калашникова» Энгельсского муниципального района Саратовской области,МОУ «СОШ с. Терновка имени А.П. Калашникова»,
1045,238,238323,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Узморье имени Юрия Алексеевича Гагарина» Энгельсского муниципального района Саратовской области,"МОУ «СОШ с. Узморье
им. Ю.А. Гагарина»",
1046,238,238333,муниципальное автономное общеобразовательное учреждение «Образовательный центр № 1 имени Героя Советского Союза Валерия Павловича Чкалова» Энгельсского муниципального района Саратовской области,МАОУ «Образовательный центр № 1 им. В.П. Чкалова»,
1047,238,238343,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Шумейка имени Михаила Петровича Дергилёва» Энгельсского муниципального района Саратовской области,"МОУ «СОШ с. Шумейка им. 
М.П. Дергилёва»",
1048,238,238353,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа «Патриот» с кадетскими классами имени Героя Российской Федерации Дейнеко Юрия Михайловича» Энгельсского муниципального района Саратовской области,"МОУ «СОШ «Патриот» 
с кадетскими классами
им. Ю.М. Дейнеко»",
1049,238,238363,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 3» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 3»,
1050,238,238373,муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа № 29 имени Артура Ивановича Михеля» Энгельсского муниципального района Саратовской области,"МАОУ «СОШ № 29 
им. А.И. Михеля»",
1051,238,238383,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 26» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 26»,
1052,238,238393,муниципальное общеобразовательное учреждение «Средняя общеобразовательная православная школа № 2 имени благоверного князя Димитрия Донского» Энгельсского муниципального района Саратовской области,МОУ «СОШ № 2»,
